Id_операции,"Тип операции (входящая - получение денег, исходящая - трата денег) Расход - это сумма входящих и исходящих операций с правильными знаками",Id_проекта,Номер месяца,Год,Сумма
57,Входящая,6,1,2020,  110 188 ₽ 
58,Исходящая,5,2,2019,  190 679 ₽ 
59,Входящая,1,7,2021,  188 840 ₽ 
60,Входящая,2,1,2020,  116 069 ₽ 
61,Исходящая,5,10,2019,  107 665 ₽ 
62,Исходящая,3,4,2020,  125 267 ₽ 
63,Входящая,5,5,2021,  174 075 ₽ 
64,Исходящая,3,9,2019,  181 286 ₽ 
65,Исходящая,6,3,2019,  129 129 ₽ 
66,Входящая,6,2,2021,  105 939 ₽ 
67,Входящая,1,3,2020,  126 160 ₽ 
68,Входящая,3,4,2019,  179 755 ₽ 
69,Исходящая,1,3,2020,  104 167 ₽ 
70,Входящая,1,5,2021,  103 104 ₽ 
71,Исходящая,1,12,2021,  162 385 ₽ 
72,Исходящая,4,1,2021,  180 126 ₽ 
73,Исходящая,4,4,2021,  198 121 ₽ 
74,Исходящая,3,11,2019,  144 296 ₽ 
75,Исходящая,2,12,2021,  168 544 ₽ 
76,Исходящая,4,5,2020,  132 021 ₽ 
77,Входящая,2,8,2019,  150 477 ₽ 
78,Входящая,3,12,2021,  196 783 ₽ 
79,Входящая,2,10,2020,  169 048 ₽ 
80,Исходящая,6,10,2021,  177 463 ₽ 
81,Исходящая,3,9,2021,  140 160 ₽ 
82,Входящая,5,1,2020,  154 203 ₽ 
83,Исходящая,5,5,2021,  115 367 ₽ 
84,Входящая,1,11,2020,  115 860 ₽ 
85,Входящая,1,6,2019,  161 242 ₽ 
86,Исходящая,2,7,2020,  192 157 ₽ 
87,Исходящая,1,1,2019,  122 834 ₽ 
88,Входящая,2,10,2021,  189 869 ₽ 
89,Исходящая,4,5,2020,  187 232 ₽ 
90,Входящая,4,12,2020,  154 238 ₽ 
91,Исходящая,3,10,2021,  139 442 ₽ 
92,Исходящая,6,4,2019,  121 798 ₽ 
93,Входящая,4,7,2019,  186 017 ₽ 
94,Входящая,2,2,2019,  117 526 ₽ 
95,Исходящая,5,7,2019,  142 966 ₽ 
96,Исходящая,5,4,2021,  113 548 ₽ 
97,Исходящая,2,7,2021,  148 092 ₽ 
98,Исходящая,4,2,2019,  126 485 ₽ 
99,Входящая,3,11,2021,  154 863 ₽ 
100,Входящая,5,7,2020,  147 449 ₽ 
101,Исходящая,2,9,2020,  135 958 ₽ 
102,Входящая,3,3,2019,  186 150 ₽ 
103,Входящая,3,5,2020,  159 477 ₽ 
104,Входящая,4,4,2019,  137 372 ₽ 
105,Исходящая,6,3,2021,  121 094 ₽ 
106,Входящая,2,7,2019,  106 732 ₽ 
107,Входящая,2,1,2019,  123 231 ₽ 
108,Исходящая,6,12,2020,  171 861 ₽ 
109,Исходящая,2,10,2021,  151 762 ₽ 
110,Исходящая,6,9,2021,  174 085 ₽ 
111,Исходящая,4,3,2019,  146 534 ₽ 
112,Исходящая,1,9,2021,  123 044 ₽ 
113,Входящая,4,10,2020,  128 731 ₽ 
114,Исходящая,2,9,2020,  111 277 ₽ 
115,Входящая,4,10,2021,  164 561 ₽ 
116,Исходящая,3,4,2020,  182 066 ₽ 
117,Входящая,2,4,2020,  121 192 ₽ 
118,Входящая,3,8,2021,  130 940 ₽ 
119,Исходящая,4,1,2021,  118 563 ₽ 
120,Входящая,2,6,2020,  124 284 ₽ 
121,Входящая,2,4,2019,  149 755 ₽ 
122,Входящая,1,3,2021,  160 435 ₽ 
123,Исходящая,3,12,2021,  147 286 ₽ 
124,Исходящая,1,2,2020,  180 136 ₽ 
125,Исходящая,3,2,2019,  181 247 ₽ 
126,Входящая,1,1,2020,  130 845 ₽ 
127,Входящая,5,12,2021,  167 974 ₽ 
128,Исходящая,2,7,2020,  142 760 ₽ 
129,Входящая,4,4,2019,  183 349 ₽ 
130,Входящая,4,7,2021,  140 732 ₽ 
131,Входящая,4,7,2020,  188 072 ₽ 
132,Исходящая,3,2,2019,  123 703 ₽ 
133,Входящая,2,7,2021,  151 299 ₽ 
134,Исходящая,4,11,2019,  137 075 ₽ 
135,Входящая,2,5,2019,  173 179 ₽ 
136,Исходящая,5,6,2021,  137 840 ₽ 
137,Исходящая,4,1,2021,  149 861 ₽ 
138,Входящая,4,9,2020,  191 198 ₽ 
139,Входящая,3,11,2020,  132 677 ₽ 
140,Входящая,2,12,2021,  134 385 ₽ 
141,Исходящая,4,9,2019,  161 669 ₽ 
142,Входящая,6,6,2019,  109 785 ₽ 
143,Исходящая,6,4,2020,  136 113 ₽ 
144,Исходящая,6,8,2021,  118 449 ₽ 
145,Входящая,6,2,2019,  133 757 ₽ 
146,Входящая,6,5,2020,  168 177 ₽ 
147,Входящая,6,6,2020,  114 436 ₽ 
148,Входящая,4,5,2020,  146 783 ₽ 
149,Входящая,6,11,2021,  176 838 ₽ 
150,Исходящая,2,11,2019,  189 271 ₽ 
151,Исходящая,2,12,2021,  175 846 ₽ 
152,Исходящая,5,9,2021,  150 672 ₽ 
153,Входящая,4,11,2021,  125 978 ₽ 
154,Входящая,2,12,2020,  123 005 ₽ 
155,Исходящая,1,9,2020,  164 351 ₽ 
156,Исходящая,5,8,2020,  170 272 ₽ 
157,Исходящая,5,8,2021,  190 849 ₽ 
158,Исходящая,4,2,2020,  129 799 ₽ 
159,Исходящая,5,1,2021,  149 329 ₽ 
160,Входящая,5,6,2019,  162 567 ₽ 
161,Исходящая,2,10,2020,  189 657 ₽ 
162,Входящая,1,12,2021,  184 971 ₽ 
163,Исходящая,2,5,2019,  199 314 ₽ 
164,Исходящая,4,11,2020,  119 010 ₽ 
165,Исходящая,5,2,2020,  177 247 ₽ 
166,Исходящая,4,3,2019,  185 157 ₽ 
167,Исходящая,2,3,2019,  109 231 ₽ 
168,Входящая,2,4,2020,  186 253 ₽ 
169,Входящая,1,2,2019,  193 466 ₽ 
170,Исходящая,6,10,2019,  145 664 ₽ 
171,Входящая,6,11,2020,  190 651 ₽ 
172,Исходящая,5,6,2019,  176 353 ₽ 
173,Исходящая,3,2,2020,  174 151 ₽ 
174,Исходящая,4,9,2020,  108 271 ₽ 
175,Исходящая,4,7,2019,  121 712 ₽ 
176,Исходящая,3,5,2021,  165 632 ₽ 
177,Исходящая,2,12,2019,  141 626 ₽ 
178,Входящая,5,9,2021,  127 452 ₽ 
179,Входящая,5,6,2019,  186 272 ₽ 
180,Исходящая,2,3,2021,  188 785 ₽ 
181,Входящая,1,3,2019,  183 084 ₽ 
182,Входящая,6,10,2020,  196 566 ₽ 
183,Исходящая,3,1,2020,  144 436 ₽ 
184,Исходящая,5,5,2021,  165 799 ₽ 
185,Исходящая,4,1,2020,  148 476 ₽ 
186,Входящая,6,6,2021,  129 021 ₽ 
187,Входящая,1,11,2021,  196 291 ₽ 
188,Входящая,2,9,2019,  162 932 ₽ 
189,Исходящая,4,2,2019,  120 670 ₽ 
190,Исходящая,3,11,2020,  103 106 ₽ 
191,Исходящая,2,10,2020,  146 894 ₽ 
192,Исходящая,1,8,2020,  126 820 ₽ 
193,Исходящая,5,10,2021,  144 787 ₽ 
194,Входящая,2,6,2020,  171 821 ₽ 
195,Входящая,5,3,2021,  179 908 ₽ 
196,Входящая,3,8,2021,  126 931 ₽ 
197,Входящая,4,2,2021,  136 414 ₽ 
198,Входящая,1,10,2021,  150 694 ₽ 
199,Входящая,6,8,2020,  151 039 ₽ 
200,Входящая,2,8,2020,  188 457 ₽ 
201,Входящая,5,5,2019,  143 119 ₽ 
202,Входящая,1,12,2021,  151 891 ₽ 
203,Входящая,3,12,2021,  151 102 ₽ 
204,Исходящая,5,8,2021,  195 774 ₽ 
205,Исходящая,2,4,2020,  101 297 ₽ 
206,Исходящая,5,4,2020,  153 028 ₽ 
207,Входящая,4,5,2020,  138 450 ₽ 
208,Входящая,5,6,2020,  110 282 ₽ 
209,Исходящая,3,1,2019,  141 823 ₽ 
210,Исходящая,1,9,2021,  136 421 ₽ 
211,Исходящая,3,8,2019,  199 953 ₽ 
212,Входящая,5,8,2019,  199 923 ₽ 
213,Входящая,6,7,2019,  161 794 ₽ 
214,Входящая,6,3,2020,  130 756 ₽ 
215,Исходящая,4,11,2019,  113 052 ₽ 
216,Исходящая,6,1,2019,  170 449 ₽ 
217,Исходящая,6,1,2019,  130 139 ₽ 
218,Исходящая,5,6,2019,  113 037 ₽ 
219,Исходящая,1,3,2021,  125 047 ₽ 
220,Входящая,5,8,2021,  108 065 ₽ 
221,Исходящая,5,8,2021,  171 739 ₽ 
222,Входящая,2,7,2020,  115 861 ₽ 
223,Исходящая,4,12,2020,  160 873 ₽ 
224,Входящая,5,4,2021,  108 907 ₽ 
225,Входящая,2,2,2020,  151 989 ₽ 
226,Входящая,6,9,2021,  103 727 ₽ 
227,Исходящая,6,6,2021,  134 794 ₽ 
228,Входящая,3,3,2020,  135 976 ₽ 
229,Входящая,1,4,2019,  166 522 ₽ 
230,Входящая,2,5,2020,  166 067 ₽ 
231,Исходящая,2,2,2020,  199 850 ₽ 
232,Входящая,4,6,2019,  146 378 ₽ 
233,Входящая,5,3,2020,  108 377 ₽ 
234,Входящая,1,4,2021,  101 120 ₽ 
235,Исходящая,4,8,2020,  126 294 ₽ 
236,Входящая,1,9,2020,  141 547 ₽ 
237,Входящая,6,11,2021,  113 535 ₽ 
238,Входящая,6,3,2021,  115 267 ₽ 
239,Исходящая,1,2,2019,  132 849 ₽ 
240,Входящая,5,9,2020,  162 398 ₽ 
241,Исходящая,2,10,2020,  125 032 ₽ 
242,Входящая,2,7,2021,  118 235 ₽ 
243,Входящая,3,5,2021,  157 707 ₽ 
244,Исходящая,2,5,2021,  166 559 ₽ 
245,Входящая,4,11,2020,  122 030 ₽ 
246,Исходящая,2,12,2019,  116 821 ₽ 
247,Исходящая,3,5,2021,  160 615 ₽ 
248,Исходящая,3,12,2020,  184 274 ₽ 
249,Исходящая,4,10,2021,  149 643 ₽ 
250,Исходящая,6,7,2020,  141 661 ₽ 
251,Исходящая,4,8,2020,  135 687 ₽ 
252,Исходящая,4,11,2019,  155 483 ₽ 
253,Исходящая,4,11,2020,  132 394 ₽ 
254,Входящая,5,4,2019,  185 988 ₽ 
255,Исходящая,3,11,2019,  114 582 ₽ 
256,Входящая,3,5,2019,  113 782 ₽ 
257,Входящая,3,3,2021,  196 394 ₽ 
258,Исходящая,1,6,2020,  109 731 ₽ 
259,Исходящая,3,12,2019,  104 050 ₽ 
260,Входящая,3,6,2019,  150 664 ₽ 
261,Исходящая,6,7,2020,  148 971 ₽ 
262,Исходящая,6,4,2020,  178 504 ₽ 
263,Входящая,2,11,2019,  161 638 ₽ 
264,Исходящая,5,12,2021,  197 238 ₽ 
265,Исходящая,3,3,2020,  183 510 ₽ 
266,Входящая,4,4,2020,  176 696 ₽ 
267,Исходящая,1,3,2020,  167 443 ₽ 
268,Входящая,3,10,2019,  164 309 ₽ 
269,Исходящая,4,6,2021,  148 059 ₽ 
270,Входящая,2,5,2019,  167 750 ₽ 
271,Исходящая,3,12,2020,  149 912 ₽ 
272,Исходящая,4,12,2020,  145 615 ₽ 
273,Исходящая,6,9,2019,  127 876 ₽ 
274,Исходящая,2,5,2021,  184 828 ₽ 
275,Входящая,6,9,2020,  175 541 ₽ 
276,Входящая,6,5,2020,  106 849 ₽ 
277,Исходящая,6,1,2021,  129 097 ₽ 
278,Исходящая,4,7,2019,  190 484 ₽ 
279,Входящая,2,2,2021,  155 557 ₽ 
280,Входящая,5,8,2021,  108 660 ₽ 
281,Входящая,3,8,2019,  129 172 ₽ 
282,Входящая,1,12,2019,  195 791 ₽ 
283,Входящая,5,4,2019,  141 438 ₽ 
284,Входящая,2,12,2020,  133 110 ₽ 
285,Исходящая,3,6,2020,  198 905 ₽ 
286,Исходящая,6,3,2019,  113 734 ₽ 
287,Исходящая,1,3,2020,  185 164 ₽ 
288,Исходящая,1,2,2019,  162 558 ₽ 
289,Входящая,6,4,2019,  189 322 ₽ 
290,Исходящая,3,4,2021,  130 404 ₽ 
291,Входящая,6,9,2019,  141 307 ₽ 
292,Входящая,3,9,2020,  136 342 ₽ 
293,Исходящая,5,8,2020,  163 754 ₽ 
294,Входящая,3,11,2020,  125 619 ₽ 
295,Входящая,2,7,2020,  123 970 ₽ 
296,Входящая,6,12,2020,  109 748 ₽ 
297,Входящая,4,7,2020,  174 402 ₽ 
298,Исходящая,4,4,2021,  138 788 ₽ 
299,Входящая,1,1,2020,  145 748 ₽ 
300,Входящая,2,6,2020,  179 999 ₽ 
301,Входящая,1,9,2019,  158 754 ₽ 
302,Исходящая,4,7,2020,  121 207 ₽ 
303,Исходящая,4,7,2020,  122 732 ₽ 
304,Входящая,2,5,2019,  181 822 ₽ 
305,Исходящая,5,8,2020,  116 392 ₽ 
306,Входящая,2,10,2021,  188 038 ₽ 
307,Входящая,2,6,2021,  161 852 ₽ 
308,Входящая,6,7,2021,  130 495 ₽ 
309,Входящая,2,12,2019,  130 760 ₽ 
310,Входящая,1,10,2021,  155 289 ₽ 
311,Входящая,6,3,2021,  162 927 ₽ 
312,Входящая,4,8,2021,  174 374 ₽ 
313,Исходящая,4,3,2020,  104 330 ₽ 
314,Входящая,4,10,2019,  108 832 ₽ 
315,Входящая,2,10,2019,  172 888 ₽ 
316,Входящая,1,2,2021,  188 908 ₽ 
317,Исходящая,4,9,2019,  186 096 ₽ 
318,Входящая,5,11,2020,  187 805 ₽ 
319,Исходящая,6,12,2020,  147 703 ₽ 
320,Исходящая,3,6,2021,  153 381 ₽ 
321,Входящая,1,11,2021,  118 909 ₽ 
322,Исходящая,5,5,2020,  114 643 ₽ 
323,Исходящая,1,4,2021,  146 451 ₽ 
324,Входящая,4,8,2019,  129 992 ₽ 
325,Исходящая,4,11,2021,  105 413 ₽ 
326,Входящая,5,5,2021,  155 538 ₽ 
327,Входящая,2,5,2019,  178 356 ₽ 
328,Исходящая,5,7,2019,  199 146 ₽ 
329,Входящая,2,4,2020,  139 205 ₽ 
330,Исходящая,5,7,2021,  128 520 ₽ 
331,Входящая,5,11,2020,  123 444 ₽ 
332,Исходящая,3,11,2020,  163 288 ₽ 
333,Входящая,4,1,2020,  112 706 ₽ 
334,Входящая,6,2,2019,  193 005 ₽ 
335,Исходящая,6,2,2021,  160 160 ₽ 
336,Входящая,3,12,2021,  121 176 ₽ 
337,Исходящая,3,5,2021,  125 060 ₽ 
338,Исходящая,4,10,2019,  147 292 ₽ 
339,Входящая,1,5,2021,  162 642 ₽ 
340,Исходящая,5,1,2019,  189 184 ₽ 
341,Исходящая,1,7,2019,  170 908 ₽ 
342,Входящая,6,4,2021,  171 054 ₽ 
343,Исходящая,5,5,2020,  135 520 ₽ 
344,Входящая,6,9,2021,  199 136 ₽ 
345,Исходящая,6,5,2020,  175 681 ₽ 
346,Исходящая,4,5,2020,  130 880 ₽ 
347,Входящая,4,6,2021,  108 474 ₽ 
348,Исходящая,6,2,2019,  113 776 ₽ 
349,Входящая,1,7,2021,  113 806 ₽ 
350,Входящая,6,4,2019,  167 908 ₽ 
351,Исходящая,3,3,2021,  119 103 ₽ 
352,Исходящая,2,10,2020,  161 677 ₽ 
353,Исходящая,2,10,2021,  129 333 ₽ 
354,Исходящая,1,9,2020,  167 100 ₽ 
355,Исходящая,2,12,2019,  136 496 ₽ 
356,Исходящая,5,4,2021,  158 466 ₽ 
357,Входящая,3,8,2019,  103 299 ₽ 
358,Исходящая,3,5,2020,  144 859 ₽ 
359,Исходящая,6,3,2019,  164 568 ₽ 
360,Исходящая,2,6,2021,  111 700 ₽ 
361,Исходящая,2,6,2021,  115 166 ₽ 
362,Исходящая,5,11,2020,  153 438 ₽ 
363,Исходящая,5,12,2020,  120 290 ₽ 
364,Исходящая,4,12,2020,  122 084 ₽ 
365,Входящая,5,2,2020,  156 318 ₽ 
366,Исходящая,1,1,2021,  122 963 ₽ 
367,Входящая,3,8,2020,  173 368 ₽ 
368,Исходящая,1,12,2019,  157 415 ₽ 
369,Входящая,2,6,2020,  137 116 ₽ 
370,Исходящая,2,5,2021,  159 291 ₽ 
371,Исходящая,2,5,2021,  191 371 ₽ 
372,Входящая,1,9,2019,  190 273 ₽ 
373,Входящая,5,11,2020,  102 480 ₽ 
374,Входящая,4,9,2021,  162 767 ₽ 
375,Исходящая,3,4,2019,  195 949 ₽ 
376,Входящая,5,4,2020,  117 811 ₽ 
377,Исходящая,2,5,2019,  189 634 ₽ 
378,Входящая,3,10,2019,  119 722 ₽ 
379,Исходящая,4,7,2019,  164 834 ₽ 
380,Исходящая,5,3,2021,  112 197 ₽ 
381,Исходящая,2,4,2019,  109 436 ₽ 
382,Исходящая,5,6,2019,  161 940 ₽ 
383,Исходящая,1,3,2021,  127 860 ₽ 
384,Исходящая,5,4,2021,  174 506 ₽ 
385,Входящая,1,6,2020,  169 334 ₽ 
386,Входящая,4,12,2019,  122 416 ₽ 
387,Исходящая,6,9,2020,  167 862 ₽ 
388,Входящая,5,2,2021,  142 241 ₽ 
389,Входящая,2,12,2019,  141 816 ₽ 
390,Входящая,5,9,2021,  102 031 ₽ 
391,Входящая,4,9,2021,  185 675 ₽ 
392,Исходящая,4,9,2021,  185 941 ₽ 
393,Исходящая,6,6,2020,  123 693 ₽ 
394,Исходящая,5,12,2020,  196 546 ₽ 
395,Входящая,3,10,2020,  182 296 ₽ 
396,Входящая,1,12,2021,  165 414 ₽ 
397,Входящая,2,12,2020,  180 131 ₽ 
398,Входящая,4,6,2021,  141 564 ₽ 
399,Входящая,5,12,2021,  104 823 ₽ 
400,Входящая,2,7,2019,  150 787 ₽ 
401,Входящая,6,4,2020,  191 120 ₽ 
402,Входящая,5,12,2019,  153 317 ₽ 
403,Исходящая,3,4,2020,  104 815 ₽ 
404,Входящая,2,1,2021,  174 273 ₽ 
405,Исходящая,5,1,2020,  102 318 ₽ 
406,Исходящая,2,5,2020,  169 975 ₽ 
407,Исходящая,1,5,2021,  148 912 ₽ 
408,Входящая,2,11,2021,  149 005 ₽ 
409,Входящая,5,11,2021,  191 116 ₽ 
410,Исходящая,2,1,2021,  107 909 ₽ 
411,Входящая,6,6,2019,  187 448 ₽ 
412,Исходящая,1,2,2019,  101 690 ₽ 
413,Входящая,3,6,2019,  181 733 ₽ 
414,Исходящая,3,6,2019,  128 265 ₽ 
415,Исходящая,5,1,2021,  150 585 ₽ 
416,Входящая,2,8,2019,  113 117 ₽ 
417,Входящая,4,12,2020,  118 990 ₽ 
418,Входящая,6,9,2021,  101 741 ₽ 
419,Исходящая,2,9,2019,  135 218 ₽ 
420,Входящая,1,10,2019,  127 774 ₽ 
421,Исходящая,5,12,2021,  174 693 ₽ 
422,Исходящая,2,1,2020,  147 565 ₽ 
423,Исходящая,5,3,2019,  158 882 ₽ 
424,Исходящая,4,2,2019,  150 573 ₽ 
425,Входящая,5,9,2021,  161 646 ₽ 
426,Входящая,4,12,2021,  164 936 ₽ 
427,Входящая,3,4,2021,  137 874 ₽ 
428,Исходящая,6,3,2019,  149 908 ₽ 
429,Исходящая,1,7,2020,  192 711 ₽ 
430,Входящая,6,6,2020,  109 442 ₽ 
431,Исходящая,2,7,2019,  149 000 ₽ 
432,Исходящая,1,8,2019,  104 802 ₽ 
433,Исходящая,5,11,2021,  131 601 ₽ 
434,Исходящая,1,9,2021,  132 026 ₽ 
435,Исходящая,1,9,2020,  154 529 ₽ 
436,Исходящая,6,1,2020,  166 722 ₽ 
437,Входящая,3,3,2020,  148 987 ₽ 
438,Входящая,5,2,2020,  178 288 ₽ 
439,Исходящая,6,6,2021,  108 893 ₽ 
440,Входящая,3,4,2019,  197 431 ₽ 
441,Входящая,1,2,2019,  113 206 ₽ 
442,Исходящая,4,5,2021,  194 833 ₽ 
443,Входящая,5,8,2019,  185 762 ₽ 
444,Исходящая,4,3,2020,  144 265 ₽ 
445,Входящая,2,5,2021,  123 410 ₽ 
446,Входящая,3,3,2020,  156 253 ₽ 
447,Исходящая,6,6,2019,  100 070 ₽ 
448,Исходящая,5,2,2021,  178 531 ₽ 
449,Входящая,6,2,2021,  194 622 ₽ 
450,Исходящая,6,4,2020,  159 840 ₽ 
451,Входящая,4,8,2020,  161 727 ₽ 
452,Исходящая,6,2,2019,  139 101 ₽ 
453,Исходящая,4,11,2019,  144 186 ₽ 
454,Входящая,5,1,2021,  177 261 ₽ 
455,Входящая,3,6,2021,  181 894 ₽ 
456,Исходящая,4,8,2021,  157 746 ₽ 
457,Входящая,1,11,2020,  151 103 ₽ 
458,Входящая,2,3,2020,  177 522 ₽ 
459,Исходящая,6,11,2021,  110 780 ₽ 
460,Входящая,3,9,2020,  173 045 ₽ 
461,Исходящая,3,10,2020,  192 281 ₽ 
462,Входящая,4,12,2021,  155 062 ₽ 
463,Исходящая,3,6,2020,  104 200 ₽ 
464,Исходящая,6,6,2020,  163 994 ₽ 
465,Входящая,2,1,2021,  104 175 ₽ 
466,Входящая,6,8,2021,  110 241 ₽ 
467,Исходящая,5,5,2021,  158 195 ₽ 
468,Входящая,6,10,2021,  119 976 ₽ 
469,Исходящая,2,3,2021,  104 913 ₽ 
470,Исходящая,5,1,2021,  114 554 ₽ 
471,Исходящая,5,5,2021,  108 837 ₽ 
472,Входящая,1,10,2020,  141 318 ₽ 
473,Исходящая,2,5,2021,  183 487 ₽ 
474,Входящая,4,6,2019,  186 597 ₽ 
475,Входящая,4,9,2020,  105 724 ₽ 
476,Входящая,3,4,2020,  144 955 ₽ 
477,Входящая,2,9,2020,  199 588 ₽ 
478,Исходящая,2,12,2020,  153 500 ₽ 
479,Входящая,5,7,2019,  135 804 ₽ 
480,Исходящая,2,1,2021,  180 181 ₽ 
481,Исходящая,6,4,2021,  174 864 ₽ 
482,Исходящая,6,12,2021,  104 080 ₽ 
483,Входящая,6,6,2019,  154 918 ₽ 
484,Входящая,1,7,2020,  179 192 ₽ 
485,Исходящая,3,5,2021,  197 588 ₽ 
486,Входящая,3,2,2019,  128 689 ₽ 
487,Входящая,2,5,2019,  158 160 ₽ 
488,Исходящая,5,1,2020,  158 892 ₽ 
489,Исходящая,6,9,2020,  163 636 ₽ 
490,Исходящая,1,11,2019,  188 348 ₽ 
491,Входящая,1,6,2019,  109 272 ₽ 
492,Исходящая,2,8,2020,  174 126 ₽ 
493,Входящая,2,9,2020,  178 122 ₽ 
494,Входящая,6,4,2020,  137 387 ₽ 
495,Входящая,1,1,2020,  157 337 ₽ 
496,Входящая,3,11,2019,  133 206 ₽ 
497,Исходящая,2,8,2021,  115 017 ₽ 
498,Исходящая,3,12,2021,  175 475 ₽ 
499,Исходящая,5,6,2019,  101 066 ₽ 
500,Исходящая,4,8,2021,  196 727 ₽ 
501,Входящая,3,6,2019,  108 388 ₽ 
502,Исходящая,3,2,2020,  122 133 ₽ 
503,Исходящая,3,9,2020,  156 800 ₽ 
504,Входящая,4,5,2021,  135 483 ₽ 
505,Исходящая,1,4,2020,  163 511 ₽ 
506,Входящая,6,6,2020,  128 468 ₽ 
507,Исходящая,6,6,2021,  118 467 ₽ 
508,Входящая,1,1,2019,  112 269 ₽ 
509,Исходящая,5,3,2021,  168 779 ₽ 
510,Входящая,6,6,2021,  127 903 ₽ 
511,Исходящая,1,9,2019,  126 801 ₽ 
512,Исходящая,3,6,2020,  120 438 ₽ 
513,Исходящая,5,8,2021,  114 820 ₽ 
514,Исходящая,2,2,2021,  186 969 ₽ 
515,Входящая,5,7,2021,  196 768 ₽ 
516,Исходящая,1,6,2019,  137 512 ₽ 
517,Исходящая,3,2,2019,  172 470 ₽ 
518,Входящая,1,5,2019,  193 615 ₽ 
519,Исходящая,1,7,2020,  116 777 ₽ 
520,Входящая,1,6,2019,  106 109 ₽ 
521,Входящая,2,3,2021,  155 210 ₽ 
522,Входящая,5,9,2021,  189 988 ₽ 
523,Исходящая,5,10,2021,  122 819 ₽ 
524,Исходящая,2,12,2019,  164 764 ₽ 
525,Исходящая,6,1,2019,  131 926 ₽ 
526,Входящая,2,9,2021,  173 894 ₽ 
527,Исходящая,5,3,2020,  186 302 ₽ 
528,Входящая,6,9,2019,  134 443 ₽ 
529,Исходящая,4,6,2020,  140 162 ₽ 
530,Входящая,3,10,2020,  180 750 ₽ 
531,Входящая,1,12,2019,  197 270 ₽ 
532,Входящая,3,5,2021,  114 438 ₽ 
533,Исходящая,4,12,2019,  154 155 ₽ 
534,Входящая,4,2,2019,  174 232 ₽ 
535,Входящая,3,4,2021,  118 202 ₽ 
536,Исходящая,6,6,2020,  133 563 ₽ 
537,Исходящая,4,8,2019,  165 944 ₽ 
538,Входящая,1,9,2019,  146 190 ₽ 
539,Исходящая,4,5,2020,  190 277 ₽ 
540,Исходящая,4,4,2019,  119 234 ₽ 
541,Входящая,3,3,2019,  198 935 ₽ 
542,Исходящая,1,7,2021,  148 400 ₽ 
